Default Weights,Q121,Parents,Q127,Q128,Q129.1,NBA Fans,Q129.3,Q129.4,Q129.5,Q129.6,Q129.7,Q129.8,Version,Creatives,ProductAssociation_SmartSpeakers,ProductAssociation_SmartDisplays,ProductAssociation_Thermostats,ProductAssociation_SecurityCamera,ProductAssociation_Doorbells,ProductAssociation_SecuritySystems,ProductAssociation_Wifi,ProductAssociation_Smartphones,ProductAssociation_Noneoftheabove,ProductAssociation_IDK,Aided Awareness_GoogleNest,Aided Awareness_Amazon,Aided Awareness_Samsung,Aided Awareness_Apple,Aided Awareness_None,Consideration_GoogleNest,Consideration_Amazon,Consideration_Samsung,Consideration_Apple,Consideration_None,Purchase Intent,Perception_Easier,Perception_Helpful,Perception_ProductRange,Perception_Seamless,Perception_NotSeamless,Perception_None,CategoryConsideration_Speakers,CategoryConsideration_Displays,CategoryConsideration_Thermostats,CategoryConsideration_SecurityCameras,CategoryConsideration_Doorbells,CategoryConsideration_SecuritySystem,CategoryConsideration_Wifi,CategoryConsideration_Smartphones,CategoryConsideration_None,Enjoyment,Q166,Q167,Q168,Understanding,Relevance,Branding,Brand Appeal,Distinctiveness,Q175,Q176,Q177
0.657894731,25,2,1,0,1,2,1,1,1,1,1,1,2,Mini Xmas V2 :15s,2,1,2,2,2,2,1,2,1,1,2,2,1,2,1,2,2,1,2,1,0,2,2,2,2,1,1,2,2,2,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,You can use it to turn on your Christmas tree.,Nothing.,It is a real life problem fixer.
0.806451619,15,2,1,1,1,1,1,2,1,2,1,1,1,Mini Xmas V1 :06s,1,1,1,1,1,1,2,2,1,1,2,2,2,2,1,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,How easy and convenient it is to use ,Nothing ,How to the point it is 
1.086956501,17,1,1,1,1,2,1,2,1,1,1,1,0,Control,2,2,2,1,1,1,1,2,1,1,2,2,1,2,1,2,2,1,2,1,0,2,2,1,1,1,1,2,1,2,1,1,2,1,1,1,,,,,,,,,,,,
0.75757575,20,0,0,1,1,1,1,2,1,1,1,1,1,Mini Xmas V1 :06s,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,4,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,,,,,,,,,,,,
0.806451619,20,0,0,1,1,2,1,2,1,1,1,1,3,Hub Baby :06s,2,2,1,2,2,2,1,2,1,1,2,1,1,2,1,2,2,2,2,1,0,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,3,3,3,1,1,2,2,2,None ,None ,None 
1.041666627,17,2,1,1,1,1,1,2,1,1,1,1,3,Hub Baby :06s,2,1,2,2,2,2,1,2,1,1,2,2,2,2,1,2,1,1,2,1,0,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,0,1,0,1,2,1,1,That it is for everyone and can do multiple things ,Nothing ,Nice and short 
0.833333313,26,0,0,0,2,2,1,2,2,1,1,1,0,Control,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,1,1,1,1,4,2,2,2,2,1,1,2,1,1,1,1,1,2,2,1,,,,,,,,,,,,
0.833333313,18,0,0,0,1,1,1,1,1,1,1,2,0,Control,2,2,2,2,2,2,2,2,1,1,2,1,1,2,1,2,1,2,1,1,0,2,1,1,2,1,1,2,2,2,2,2,2,2,2,1,,,,,,,,,,,,
1.041666627,15,1,1,0,2,2,2,2,1,2,1,1,3,Hub Baby :06s,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,1,1,2,1,0,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,0,1,0,0,0,0,1,0,0,buy the product try it,nothing like everything,everything
0.75757575,21,0,0,0,2,2,2,2,2,1,1,1,1,Mini Xmas V1 :06s,1,2,1,1,1,1,2,2,1,1,2,2,2,2,1,2,2,2,1,1,0,2,1,2,2,1,1,2,2,2,2,2,2,1,1,1,2,1,0,1,0,1,1,1,1,Hey google,Nothing,It was google
